Col,Row,Blk,Plot,Name,Stems,IBAP13,IBA13,DBH13eq,MAIBA13,BAtot13,DBH 13,DBH 13a,DBH 13b,DBH 13c,DBH 13d,DBH 13e,Canker,Ht12 (ft),Ht12a (ft),Ht12b (ft),Ht12c (ft),Ht12d (ft),IBAP12,IBA12,DBH12eq,MAIBA12,BAtot12,DBH 12,DBH 12a,DBH 12b,DBH 12c,DBH 12d,DBH 12e,Canker,IBAP11,IBA11,DBH11eq,MAIBA11,BAtot11,DBH 11,DBH11a,DBH 11b,DBH 11c,DBH 11d,DBH 11e,IBAP10,IBA10,DBH10eq,MAIBA10,BAtot10,DBH 10,DBH 10a,DBH 10b,DBH 10c,DBH 10d,DBH 10e,BLD or Rust 10,Canker 10,IBAP09,IBA09,DBH09eq,MAIBA09,BAtot09,DBH 09,DBH 09a,DBH 09b,DBH 09c,DBH 09d,DBH 09e,IBAP08,IBA08,DBH08eq,MAIBA08,BAtot08,DBH 08,DBH 08a,DBH 08b,DBH 08c,DBH 08d,DBH 08e,Ht 08,DBH07eq,MAIBA07,BAtot07,DBH 07,DBH 07a,DBH 07b,DBH 07c,DBH 07d,DBH 07e,"Leaf
Spot08 4yr","Leaf
Rust08 4yr",Canker08 4yr
1,1,1,1,17XGA04,1,25%,0.035,5.6,0.019,0.171,5.6,,,,,,0,32.6,,,,,,,5,0.017,0.136,5,,,,,,0,,,0,NA,NA,,,,,,,8%,0.003,2.8,0.007,0.043,2.8,,,,,,3,0,38%,0.011,2.7,0.008,0.04,2.7,,,,,,107%,0.015,2.3,0.007,0.029,2.3,,,,,,16.5,1.6,0.005,0.014,1.6,,,,,,0,1,0
1,2,1,1,17XGA04,1,40%,0.016,3.2,0.006,0.056,3.2,,,,,,0,27.2,,,,,,,2.7,0.005,0.04,2.7,,,,,,0,,,0,NA,NA,,,,,,,38%,0.006,2,0.004,0.022,2,,,,,,3,0,71%,0.007,1.7,0.003,0.016,1.7,,,,,,245%,0.007,1.3,0.002,0.009,1.3,,,,,,13.5,0.7,0.001,0.003,0.7,,,,,,0,1,0
1,3,1,1,17XGA04,2,25%,0.069,8,0.039,0.348,5.5,5.8,,,,,0,39.3,38.3,,,,,,7.2,0.035,0.28,5.4,4.7,,,,,0,,,0,NA,NA,,,,,,,56%,0.041,4.6,0.019,0.115,3.3,3.2,,,,,3,0,59%,0.027,3.7,0.015,0.074,2.7,2.5,,,,,194%,0.031,2.9,0.012,0.047,2.3,1.8,,,,,19.5,1.7,0.005,0.016,1.3,1.1,,,,,0,1,0
1,4,1,1,17XGA04,2,39%,0.024,4,0.009,0.085,3.8,1.1,,,,,0,35.3,,,,,,,3.4,0.008,0.061,3.2,1,,,,,0,,,0,NA,NA,,,,,,,59%,0.015,2.7,0.007,0.04,2.6,0.8,,,,,3,0,52%,0.009,2.2,0.005,0.025,2,0.8,,,,,80%,0.007,1.7,0.004,0.017,1.6,0.7,,,,,14,1.3,0.003,0.009,1.2,0.5,,,,,0,0,0
1,5,1,2,82XAA04,1,15%,0.024,5.8,0.02,0.183,5.8,,,,,,0,39.5,,,,,,,5.4,0.02,0.159,5.4,,,,,,0,,,0,NA,NA,,,,,,,52%,0.026,3.7,0.012,0.075,3.7,,,,,,2,0,44%,0.015,3,0.01,0.049,3,,,,,,144%,0.02,2.5,0.009,0.034,2.5,,,,,,20,1.6,0.005,0.014,1.6,,,,,,0,1,0
1,6,1,2,82XAA04,1,42%,0.04,5,0.015,0.136,5,,,,,,0,36,,,,,,,4.2,0.012,0.096,4.2,,,,,,0,,,0,NA,NA,,,,,,,56%,0.018,3,0.008,0.049,3,,,,,,2,0,78%,0.014,2.4,0.006,0.031,2.4,,,,,,224%,0.012,1.8,0.004,0.018,1.8,,,,,,16.5,1,0.002,0.005,1,,,,,,0,1,0
1,7,1,2,82XAA04,3,34%,0.105,8.7,0.046,0.41,6.9,4.5,2.7,,,,0,38.8,37,,,,,,7.5,0.038,0.305,5.8,4,2.5,,,,0,,,0,NA,NA,,,,,,,67%,0.075,5.8,0.031,0.186,4.7,2.6,2.3,,,,2,0,58%,0.041,4.5,0.022,0.111,3.2,2.4,2.1,,,,127%,0.039,3.6,0.018,0.07,2.6,1.7,1.8,,,,22,2.4,0.01,0.031,1.6,1.3,1.2,,,,0,1,0
1,8,1,2,82XAA04,0,,,0,NA,NA,,,,,,,0,,,,,,,,0,NA,NA,,,,,,,0,,,0,NA,NA,,,,,,,0%,0,1.3,0.002,0.009,1.3,,,,,,5,0,0%,0,1.3,0.002,0.009,1.3,,,,,,109%,0.005,1.3,0.002,0.009,1.3,,,,,,13.5,0.9,0.001,0.004,0.9,,,,,,0,2,0
1,9,4,3,2XT4E04,0,,,0,NA,NA,,,,,,,0,,,,,,,,0,NA,NA,,,,,,,0,,,0,NA,NA,,,,,,,,,0,NA,NA,,,,,,,,,,,0,NA,NA,,,,,,,,,0,NA,NA,,,,,,,,0,NA,NA,,,,,,,,,
1,10,4,3,2XT4E04,0,,,0,NA,NA,,,,,,,0,,,,,,,,0,NA,NA,,,,,,,0,,,0,NA,NA,,,,,,,,,0,NA,NA,,,,,,,,,,,0,NA,NA,,,,,,,,,0,NA,NA,,,,,,,,0,NA,NA,,,,,,,,,
