ord,Col,Row,Blk,Plot,id,"Clone
Number",Stems,DBHeq,BA,DBH1,DBH2,DBH3,DBH4,DBH5,DBH6,Year,Ht,Canker13
1,1,1,1,1,1,17XGA04,1,5.6,0.171,5.6,,,,,,2013,,0
2,1,2,1,1,1,17XGA04,1,3.2,0.056,3.2,,,,,,2013,,0
3,1,3,1,1,1,17XGA04,2,8.0,0.348,5.5,5.8,,,,,2013,,0
4,1,4,1,1,1,17XGA04,2,4.0,0.085,3.8,1.1,,,,,2013,,0
5,5,13,5,24,1,17XGA04,1,2.9,0.046,2.9,,,,,,2013,,0
6,5,14,5,24,1,17XGA04,2,5.1,0.142,3.9,3.3,,,,,2013,,0
7,5,15,5,24,1,17XGA04,1,6.7,0.245,6.7,,,,,,2013,,0
8,5,16,5,24,1,17XGA04,2,5.0,0.136,4.0,3.0,,,,,2013,,0
9,7,9,3,33,1,17XGA04,2,4.7,0.119,3.5,3.1,,,,,2013,,0
10,7,10,3,33,1,17XGA04,1,3.9,0.083,3.9,,,,,,2013,,0
11,7,11,3,33,1,17XGA04,2,5.9,0.193,4.4,4.0,,,,,2013,,0
12,7,12,3,33,1,17XGA04,NA,0.0,0.000,,,,,,,2013,,0
13,10,5,2,49,1,17XGA04,3,4.8,0.124,3.7,2.4,1.8,,,,2013,,0
14,10,6,2,49,1,17XGA04,1,3.7,0.075,3.7,,,,,,2013,,0
15,10,7,2,49,1,17XGA04,2,4.6,0.115,4.4,1.3,,,,,2013,,0
16,10,8,2,49,1,17XGA04,2,3.0,0.050,2.7,1.4,,,,,2013,,0
17,2,9,4,8,1,18XAG04,2,4.4,0.107,4.2,1.4,,,,,2013,,0
18,2,10,4,8,1,18XAG04,1,6.0,0.196,6.0,,,,,,2013,,0
19,2,11,4,8,1,18XAG04,2,8.2,0.367,5.7,5.9,,,,,2013,,0
20,2,12,4,8,1,18XAG04,2,7.7,0.325,5.7,5.2,,,,,2013,,0
21,4,5,1,19,1,18XAG04,2,6.3,0.217,4.8,4.1,,,,,2013,,0
22,4,6,1,19,1,18XAG04,1,5.6,0.171,5.6,,,,,,2013,,0
23,4,7,1,19,1,18XAG04,2,3.6,0.069,2.8,2.2,,,,,2013,,0
24,4,8,1,19,1,18XAG04,2,6.6,0.236,6.3,1.9,,,,,2013,,0
25,6,9,3,28,1,18XAG04,1,2.5,0.034,2.5,,,,,,2013,,0
26,6,10,3,28,1,18XAG04,2,7.2,0.282,5.9,4.1,,,,,2013,,0
27,6,11,3,28,1,18XAG04,2,1.3,0.009,1.1,0.7,,,,,2013,,0
28,6,12,3,28,1,18XAG04,1,5.7,0.177,5.7,,,,,,2013,,0
29,8,5,2,39,1,18XAG04,1,6.0,0.196,6.0,,,,,,2013,,0
