"Clone
Number",Blk,Y9BAmai,Y9BAsf,Y8BAmai,Y8BAsf,Y7BAmai,Y7BAsf,Y6BAmai,Y6BAsf,Y5BAmai,Y5BAsf,Y4BAmai,Y4BAsf,Y3BAmai,Y3BAsf
17XGA04,1,9.9,0.661,8.7,0.517,na,,4.9,0.220,4.2,0.155,3.4,0.101,1.9,0.042
17XGA04,2,5.4,0.364,5.8,0.346,na,,5.3,0.236,4.8,0.178,4.3,0.127,2.8,0.063
17XGA04,3,5.9,0.395,6.3,0.377,na,,4.4,0.197,2.2,0.081,1.9,0.058,0.8,0.019
17XGA04,5,8.5,0.569,9.3,0.555,na,,7.0,0.312,6.1,0.226,5.0,0.148,3.3,0.074
18XAG04,1,10.4,0.694,11.2,0.668,na,,8.9,0.397,7.2,0.269,6.3,0.188,4.7,0.105
18XAG04,2,6.2,0.414,6.6,0.395,na,,4.8,0.212,3.8,0.142,3.0,0.090,1.9,0.043
18XAG04,3,7.5,0.502,7.2,0.427,na,,5.8,0.261,4.0,0.149,2.7,0.080,1.7,0.037
18XAG04,4,14.9,0.995,13.8,0.820,na,,10.9,0.487,8.4,0.314,7.5,0.224,5.6,0.124
1XTE04,1,8.6,0.574,9.2,0.545,na,,7.1,0.318,5.7,0.213,4.3,0.127,2.0,0.044
1XTE04,2,1.1,0.075,1.3,0.075,na,,0.8,0.038,0.6,0.023,0.4,0.013,0.2,0.005
1XTE04,3,0.7,0.046,0.8,0.046,na,,0.5,0.022,0.4,0.016,0.4,0.011,0.3,0.008
2XT4E04,1,na,,na,,na,,na,,0.4,0.014,0.3,0.009,0.1,0.002
2XT4E04,2,2.0,0.133,2.1,0.125,na,,1.4,0.063,1.2,0.045,1.2,0.035,0.4,0.009
2XT4E04,3,2.4,0.160,2.6,0.157,na,,1.9,0.086,1.5,0.057,1.1,0.032,0.3,0.007
2XT4E04,4,na,,na,,na,,na,,na,,na,,na,
80XAA04,1,15.0,1.007,13.3,0.792,12.5,0.650,10.0,0.447,8.1,0.300,5.9,0.177,4.5,0.101
