"id"	"setid"	"longft"	"shortft"	"row"	"col"	"block"	"dbh"	"year"	"site"	"name"	"plot"	"ibap"	"iba"	"ibamai"	"batot"	"ht"	"stms"	"canker"	"nline"	"neline"	"eline"	"seline"	"sline"	"swline"	"wline"	"nwline"	"lineindex"	"areaindex"	"sname2"	"ndbh"	"nedbh"	"edbh"	"sedbh"	"sdbh"	"swdbh"	"wdbh"	"nwdbh"	"sname3"	"dbhc"	"dbha"	"dbhr"	"sdbhr1d"	"sdbhr2d"	"bar"	"sbar"
"13"	13	9	9	9	13	1	"4"	8.7	"2013"	"U07m"	"83XAA04"	"4"	124	0.105	0.046	0.414	NA	4	0	9	6.8	9	7.8	4.2	12.7	9	12.7	71.24	220	"83XAA04"	NA	71	NA	49	90	NA	NA	NA	"83XAA04"	3	2.88	3.03	2.64	3.6	3.26	2.45
"14"	14	9	9	9	14	1	"4"	9.8	"2013"	"U07m"	"83XAA04"	"4"	120	0.127	0.058	0.52	NA	3	0	4.8	12.7	5.8	9.8	4.6	12.7	9	12.7	72.13	206.49	"83XAA04"	81	NA	49	23	88	NA	NA	NA	"83XAA04"	4	3.31	2.96	2.7	7.33	3.79	2.11
"15"	15	9	9	9	15	1	"4"	9.4	"2013"	"U07m"	"83XAA04"	"4"	87	0.083	0.053	0.478	NA	3	0	4.4	8	6.9	12.7	4.6	12.7	9	12.7	71.12	205.42	"83XAA04"	90	49	23	NA	83	NA	NA	NA	"83XAA04"	4	3.39	2.77	2.88	6.97	3.3	2.42
"16"	16	9	9	9	16	1	"4"	8.9	"2013"	"U07m"	"83XAA04"	"4"	106	0.09	0.048	0.432	NA	2	0	4.4	9.6	9	7.6	5.3	12.7	9	12.7	70.25	207.91	"83XAA04"	88	23	NA	55	57	NA	NA	NA	"83XAA04"	4	3.09	2.88	2.78	6.89	3.65	2.19
"22"	22	9	9	9	1	2	"1"	9.4	"2013"	"U07m"	"80XAA04"	"10"	110	0.106	0.054	0.482	NA	1	0	9	12.7	4.6	6.7	5.2	9.5	5.6	12.7	66.16	187.05	"80XAA04"	NA	NA	83	78	62	26	50	NA	"80XAA04"	5	4.11	2.29	3.5	8.17	2.97	2.69
"23"	23	9	9	9	2	2	"1"	6.8	"2013"	"U07m"	"80XAA04"	"10"	110	0.056	0.028	0.252	NA	1	0	3.8	5.5	4	6.5	4.6	5.8	6.1	7	43.36	81.66	"80XAA04"	88	83	78	60	58	74	26	50	"80XAA04"	8	7.06	0.96	8.31	8.58	0.86	9.26
"24"	24	9	9	9	3	2	"1"	6.4	"2013"	"U07m"	"80XAA04"	"10"	106	0.046	0.025	0.223	NA	1	0	4.4	5.5	4.4	5.3	6.1	7.8	4	8.5	46	89.87	"80XAA04"	62	78	60	85	24	34	74	26	"80XAA04"	8	6.14	1.04	7.67	9.91	0.96	8.36
"25"	25	9	9	9	4	2	"1"	3	"2013"	"U07m"	"80XAA04"	"10"	58	0.006	0.005	0.049	NA	1	0	2.9	4	2.2	4.2	2.5	4.3	3.9	3.5	27.45	32.15	"80XAA04"	58	60	85	54	74	52	34	74	"80XAA04"	8	6.74	0.45	17.97	3.77	0.19	42.33
"38"	38	9	9	9	17	2	"5"	6.1	"2013"	"U07m"	"80XAA04"	"6"	98	0.039	0.023	0.204	NA	2	0	9	6.3	4	6.2	4.6	5	4.4	5.2	44.73	88.47	"80XAA04"	NA	56	69	59	53	87	57	83	"80XAA04"	7	6.33	0.96	8.3	6.08	0.79	10.14
"39"	39	9	9	9	18	2	"5"	5.9	"2013"	"U07m"	"80XAA04"	"6"	79	0.031	0.021	0.19	NA	1	0	4.4	5.6	4.3	6.9	3.7	5.4	3.5	6.2	39.95	67.6	"80XAA04"	55	69	59	44	80	73	87	57	"80XAA04"	8	7.15	0.83	9.69	6.85	0.66	12.16
