id,setid,long_ft,short_ft,row,col,block,dbh,year,site,name,plot,stemno,htave,ht,basm,ba
1,1,8,7,1,1,1,0.00,2013,U08as,68,1,NA,NA,NA,NA,NA
2,1,8,7,2,1,1,0.00,2013,U08as,68,1,NA,NA,NA,NA,NA
3,1,8,7,3,1,2,0.00,2013,U08as,76,2,NA,NA,NA,NA,NA
4,1,8,7,4,1,2,0.00,2013,U08as,76,2,NA,NA,NA,NA,NA
5,1,8,7,5,1,3,3.10,2013,U08as,71,3,1,21.00,21.00,0.0049,0.0524
6,1,8,7,6,1,3,3.36,2013,U08as,71,3,2,20.50,21.00,0.0057,0.0616
7,1,8,7,7,1,4,2.10,2013,U08as,72,4,1,21.00,21.00,0.0022,0.0241
8,1,8,7,8,1,5,1.20,2013,U08as,74,100,1,19.00,19.00,0.0007,0.0079
9,1,8,7,9,1,1,1.60,2013,U08as,NM6,61,1,13.50,13.50,0.0013,0.0140
10,1,8,7,1,2,1,3.10,2013,U08as,67,8,1,20.50,20.50,0.0049,0.0524
11,1,8,7,2,2,1,0.00,2013,U08as,67,8,NA,NA,NA,NA,NA
12,1,8,7,3,2,2,0.00,2013,U08as,64,7,NA,NA,NA,NA,NA
13,1,8,7,4,2,2,2.80,2013,U08as,64,7,1,23.00,23.00,0.004,0.0428
14,1,8,7,5,2,3,2.60,2013,U08as,75,6,1,23.00,23.00,0.0034,0.0369
15,1,8,7,6,2,3,2.20,2013,U08as,75,6,1,20.50,20.50,0.0025,0.0264
16,1,8,7,7,2,4,1.50,2013,U08as,63,5,1,17.00,17.00,0.0011,0.0123
17,1,8,7,8,2,4,0.60,2013,U08as,63,5,1,10.00,10.00,0.0002,0.0020
18,1,8,7,9,2,1,2.20,2013,U08as,NM6,61,1,15.50,15.50,0.0025,0.0264
19,1,8,7,1,3,1,2.80,2013,U08as,74,9,1,18.00,18.00,0.004,0.0428
20,1,8,7,2,3,1,2.56,2013,U08as,74,9,2,16.00,18.00,0.0033,0.0356
21,1,8,7,3,3,2,0.40,2013,U08as,62,10,1,8.00,8.00,0.0001,0.0009
22,1,8,7,4,3,2,1.80,2013,U08as,62,10,1,16.00,16.00,0.0016,0.0177
