id,setid,long_ft,short_ft,row,col,block,dbh,year,site,name,Stems,BA,DBH1,DBH2,DBH3,DBH4,DBH5,DBH6,Ht,Plot,Canker13,Nline,NEline,Eline,SEline,Sline,SWline,Wline,NWline,Line_Index,Area_Index,sName2,sName2,N_DBH,NE_DBH,E_DBH,SE_DBH,S_DBH,SW_DBH,W_DBH,NW_DBH,sName3,DBH_Count,cDBH_AVG,DBH_Ratio,Sum_DBH_Ratio1_sD,Sum_DBH_Ratio2_cD,BA_Ratio,Sum_BA_Ratio
1,1,9,9,1,1,1,5.6,2013,U07m,17XGA04,1,0.171,5.6,,,,,,,1,0,9,12.7,3.4,5.7,5.7,12.7,9,12.7,71.02,221.36,17XGA04,17XGA04,0,0,9.4,6.8,3.2,0,0,0,17XGA04,3,2.42,2.31,3.46,3.17,1.73,4.62
2,1,9,9,2,1,1,3.2,2013,U07m,17XGA04,1,0.056,3.2,,,,,,,1,0,3.3,3.2,2.9,4.2,2.6,12.7,9,12.7,50.66,122.51,17XGA04,17XGA04,5.6,9.4,6.8,6.4,8,0,0,0,17XGA04,5,4.53,0.71,11.31,2.28,0.3,26.46
3,1,9,9,3,1,1,8,2013,U07m,17XGA04,2,0.348,5.5,5.8,,,,,,1,0,6.4,6.9,5,9.3,6,12.7,9,12.7,68.02,200.73,17XGA04,17XGA04,3.2,6.8,6.4,3,4,0,0,0,17XGA04,5,2.92,2.74,2.92,9.59,4.18,1.91
4,1,9,9,4,1,1,4,2013,U07m,17XGA04,2,0.085,3.8,1.1,,,,,,1,0,3,4.9,5.1,4.2,3.7,12.7,9,12.7,55.41,138.35,17XGA04,17XGA04,8,6.4,3,8,5.8,0,0,0,17XGA04,5,3.9,1.03,7.8,3.65,0.6,13.23
5,1,9,9,13,5,5,2.9,2013,U07m,17XGA04,1,0.046,2.9,,,,,,,24,0,2.3,4.3,9,12.7,3.3,12.7,3.3,12.7,60.33,126.9,17XGA04,17XGA04,8.3,5.7,0,0,5.1,0,5.1,0,17XGA04,4,3.03,0.96,8.34,2,0.44,18.24
6,1,9,9,14,5,5,5.1,2013,U07m,17XGA04,2,0.142,3.9,3.3,,,,,,24,0,5.7,12.7,9,12.7,3.9,5.3,9,6.4,64.77,181.73,17XGA04,17XGA04,2.9,0,0,0,6.7,7.1,0,5.1,17XGA04,4,2.72,1.87,4.27,4.24,1.6,4.99
7,1,9,9,15,5,5,6.7,2013,U07m,17XGA04,1,0.245,6.7,,,,,,,24,0,5.1,12.7,9,8.9,5.2,5.9,4.4,12.7,63.89,170.55,17XGA04,17XGA04,5.1,0,0,2.9,5,7.7,7.1,0,17XGA04,5,3.47,1.93,4.15,6.78,2.12,3.77
8,1,9,9,16,5,5,5,2013,U07m,17XGA04,2,0.136,4,3,,,,,,24,0,3.8,12.7,5.7,6.8,9,7.5,3.5,5.3,54.4,125.44,17XGA04,17XGA04,6.7,0,2.9,4.3,0,3.5,7.7,7.1,17XGA04,6,4.02,1.24,6.44,6.42,1.03,7.75
9,1,9,9,9,7,3,4.7,2013,U07m,17XGA04,2,0.119,3.5,3.1,,,,,,33,0,5.5,6,3.5,5.8,4.9,5,5.9,5.5,42.11,77.69,17XGA04,17XGA04,3,5.3,7.3,5.7,3.9,7.2,2.5,6.1,17XGA04,8,5.13,0.92,8.72,8.43,0.76,10.56
10,1,9,9,10,7,3,3.9,2013,U07m,17XGA04,1,0.083,3.9,,,,,,,33,0,4.1,4.4,3.7,4.5,3.6,9.5,3.2,7.8,40.73,66.3,17XGA04,17XGA04,4.7,7.3,5.7,7.1,5.9,1.3,7.2,2.5,17XGA04,8,5.21,0.75,10.69,8.36,0.48,16.63
