id,setid,long_ft,short_ft,row,col,block,dbh,year,site,name,Nline,NEline,Eline,SEline,Sline,SWline,Wline,NWline,Line_Index,Area_Index,sName2,sName2,N_DBH,NE_DBH,E_DBH,SE_DBH,S_DBH,SW_DBH,W_DBH,NW_DBH,sName3,DBH_Count,cDBH_AVG,DBH_Ratio,Sum_DBH_Ratio1_sD,Sum_DBH_Ratio2_cD,BA_Ratio,Sum_BA_Ratio,,,,,,,,,,,,,,,,
1,1,9,9,1,1,1,5.6,2013,U07m,17XGA24,9,12.7,3.4,5.7,5.7,12.7,9,12.7,71.02,221.36,17XGA24,17XGA24,0,0,9.4,6.8,3.2,0,0,0,17XGA24,3,2.42,2.31,3.46,3.17,1.73,4.62,,,,,,,,,,,,,,,,
2,1,9,9,2,1,1,3.2,2013,U07m,17XGA04,3.3,3.2,2.9,4.2,2.6,12.7,9,12.7,50.66,122.51,17XGA04,17XGA04,5.6,9.4,6.8,6.4,8,0,0,0,17XGA04,5,4.53,0.71,11.31,2.28,0.3,26.46,,,,,,,,,,,,,,,,
3,1,9,9,3,1,1,8,2013,U07m,17XGA04,6.4,6.9,5,9.3,6,12.7,9,12.7,68.02,200.73,17XGA04,17XGA04,3.2,6.8,6.4,3,4,0,0,0,17XGA04,5,2.92,2.74,2.92,9.59,4.18,1.91,,,,,,,,,,,,,,,,
4,1,9,9,4,1,1,4,2013,U07m,17XGA5,3,4.9,5.1,4.2,3.7,12.7,9,12.7,55.41,138.35,17XGA5,17XGA5,8,6.4,3,8,5.8,0,0,0,17XGA5,5,3.9,1.03,7.8,3.65,0.6,13.23,,,,,,,,,,,,,,,,
5,1,9,9,5,1,1,5.8,2013,U07m,82XAA04,5.3,8.4,3.8,6.3,4.8,12.7,9,12.7,63.04,172.79,82XAA04,82XAA04,4,3,8,6,5,0,0,0,82XAA04,5,3.25,1.78,4.48,6.24,1.79,4.46,,,,,,,,,,,,,,,,
6,1,9,9,6,1,1,5,2013,U07m,82XAA04,4.2,4.9,4.1,5,3.3,12.7,9,12.7,55.9,141.89,82XAA04,82XAA04,5.8,8,6,7.7,8.7,0,0,0,82XAA04,5,4.53,1.1,7.24,3.54,0.74,10.74,,,,,,,,,,,,,,,,
7,1,9,9,7,1,1,8.7,2013,U07m,82XAA04,5.7,7.5,4.8,8.3,9,12.7,9,12.7,69.74,215.4,82XAA04,82XAA04,5,6,7.7,4.7,0,0,0,0,82XAA04,4,2.92,2.97,2.69,6.17,4.25,1.88,,,,,,,,,,,,,,,,
8,1,9,9,8,1,1,na,2013,U07m,82XAA04,0,0,0,0,0,0,0,0,0,0,82XAA04,82XAA04,8.7,7.7,4.7,4.4,0,0,0,0,82XAA04,4,3.19,0,0,0,0,0,,,,,,,,,,,,,,,,
9,1,9,9,9,1,1,na,2013,U07m,2XT4E04,0,0,0,0,0,0,0,0,0,0,2XT4E04,2XT4E04,0,4.7,4.4,6,0,0,0,0,2XT4E04,3,1.89,0,0,0,0,0,,,,,,,,,,,,,,,,
10,1,9,9,10,1,1,na,2013,U07m,2XT4E04,0,0,0,0,0,0,0,0,0,0,2XT4E04,2XT4E04,0,4.4,6,8.2,0,0,0,0,2XT4E04,3,2.33,0,0,0,0,0,,,,,,,,,,,,,,,,
11,1,9,9,11,1,1,na,2013,U07m,2XT4E04,0,0,0,0,0,0,0,0,0,0,2XT4E04,2XT4E04,0,6,8.2,7.7,0,0,0,0,2XT4E04,3,2.74,0,0,0,0,0,,,,,,,,,,,,,,,,
12,1,9,9,12,1,1,na,2013,U07m,2XT4E04,0,0,0,0,0,0,0,0,0,0,2XT4E04,2XT4E04,0,8.2,7.7,0,8.7,0,0,0,2XT4E04,3,3.07,0,0,0,0,0,,,,,,,,,,,,,,,,
13,1,9,9,13,1,1,8.7,2013,U07m,83XAA04,9,6.8,9,7.8,4.2,12.7,9,12.7,71.24,220,83XAA04,83XAA04,0,7.7,0,5.5,9.8,0,0,0,83XAA04,3,2.88,3.03,2.64,3.6,3.26,2.45,,,,,,,,,,,,,,,,
14,1,9,9,14,1,1,9.8,2013,U07m,83XAA04,4.8,12.7,5.8,9.8,4.6,12.7,9,12.7,72.13,206.49,83XAA04,83XAA04,8.7,0,5.5,2.9,9.4,0,0,0,83XAA04,4,3.31,2.96,2.7,7.33,3.79,2.11,,,,,,,,,,,,,,,,
15,1,9,9,15,1,1,9.4,2013,U07m,83XAA04,4.4,8,6.9,12.7,4.6,12.7,9,12.7,71.12,205.42,83XAA04,83XAA04,9.8,5.5,2.9,0,8.9,0,0,0,83XAA04,4,3.39,2.77,2.88,6.97,3.3,2.42,,,,,,,,,,,,,,,,
16,1,9,9,16,1,1,8.9,2013,U07m,83XAA04,4.4,9.6,9,7.6,5.3,12.7,9,12.7,70.25,207.91,83XAA04,83XAA04,9.4,2.9,0,6.1,6.3,0,0,0,83XAA04,4,3.09,2.88,2.78,6.89,3.65,2.19,,,,,,,,,,,,,,,,
