"","id","setid","longft","shortft","row","col","block","dbh","year","site","name","plot","ibap","iba","ibamai","batot","ht","stms","canker","nline","neline","eline","seline","sline","swline","wline","nwline","lineindex","areaindex","sname2","ndbh","nedbh","edbh","sedbh","sdbh","swdbh","wdbh","nwdbh","sname3","dbhc","dbha","dbhr","sdbhr1d","sdbhr2d","bar","sbar"
"13",13,9,9,9,13,1,"4",8.7,"2013","U07m","83XAA04","4",124,0.105,0.046,0.414,NA,4,0,9,6.8,9,7.8,4.2,12.7,9,12.7,71.24,220,"83XAA04",NA,71,NA,49,90,NA,NA,NA,"83XAA04",3,2.88,3.03,2.64,3.6,3.26,2.45
"14",14,9,9,9,14,1,"4",9.8,"2013","U07m","83XAA04","4",120,0.127,0.058,0.52,NA,3,0,4.8,12.7,5.8,9.8,4.6,12.7,9,12.7,72.13,206.49,"83XAA04",81,NA,49,23,88,NA,NA,NA,"83XAA04",4,3.31,2.96,2.7,7.33,3.79,2.11
"15",15,9,9,9,15,1,"4",9.4,"2013","U07m","83XAA04","4",87,0.083,0.053,0.478,NA,3,0,4.4,8,6.9,12.7,4.6,12.7,9,12.7,71.12,205.42,"83XAA04",90,49,23,NA,83,NA,NA,NA,"83XAA04",4,3.39,2.77,2.88,6.97,3.3,2.42
"16",16,9,9,9,16,1,"4",8.9,"2013","U07m","83XAA04","4",106,0.09,0.048,0.432,NA,2,0,4.4,9.6,9,7.6,5.3,12.7,9,12.7,70.25,207.91,"83XAA04",88,23,NA,55,57,NA,NA,NA,"83XAA04",4,3.09,2.88,2.78,6.89,3.65,2.19
"43",43,9,9,9,1,3,"1",8.9,"2013","U07m","83XAA04","11",141,0.134,0.048,0.433,NA,4,0,9,12.7,9,8.5,4.6,7.2,4.4,12.7,68.2,205.22,"83XAA04",NA,NA,NA,38,78,62,88,NA,"83XAA04",4,3.63,2.46,3.26,5.34,2.82,2.83
"44",44,9,9,9,2,3,"1",8.4,"2013","U07m","83XAA04","11",182,0.028,0.043,0.387,NA,3,0,4.4,12.7,5.9,12.7,5,7.2,5,6,58.98,140.92,"83XAA04",83,NA,38,NA,60,58,62,88,"83XAA04",6,5.31,1.58,5.06,7.57,1.78,4.5
"45",45,9,9,9,3,3,"1",6.6,"2013","U07m","83XAA04","11",58,0.032,0.027,0.24,NA,2,0,4,7.6,9,12.7,3.8,8.8,4.6,6.3,56.7,137.26,"83XAA04",78,38,NA,NA,85,24,58,62,"83XAA04",6,4.76,1.39,5.77,7.21,1.3,6.17
"46",46,9,9,9,4,3,"1",9.1,"2013","U07m","83XAA04","11",12,0.042,0.05,0.448,NA,3,0,5.2,12.7,9,7.5,5.4,6.8,6.8,7.5,60.9,163.19,"83XAA04",60,NA,NA,57,54,74,24,58,"83XAA04",6,4.54,2.01,3.99,9.93,2.84,2.82
"59",59,9,9,9,17,3,"5",7.5,"2013","U07m","83XAA04","15",21,0.031,0.034,0.306,NA,2,0,4.9,6.3,6.1,6,4.8,7.1,5,12.7,52.98,116.97,"83XAA04",56,71,29,78,59,53,55,NA,"83XAA04",7,5.54,1.35,5.91,8.87,1.53,5.24
"60",60,9,9,9,18,3,"5",6.5,"2013","U07m","83XAA04","15",115,0.007,0.026,0.23,NA,1,0,4.2,8.3,3.9,6.6,5.1,5.5,4.7,6.6,44.79,84.27,"83XAA04",69,29,78,55,44,80,53,55,"83XAA04",8,6.39,1.02,7.86,8.79,0.97,8.22
"61",61,9,9,9,19,3,"5",5,"2013","U07m","83XAA04","15",192,0.011,0.015,0.136,NA,1,0,3.9,4.7,4.1,5.9,3.6,4.9,3.3,5.8,36.34,56.45,"83XAA04",59,78,55,51,68,74,80,53,"83XAA04",8,7.08,0.71,11.32,5.79,0.49,16.4
"62",62,9,9,9,20,3,"5",7.4,"2013","U07m","83XAA04","15",106,0.061,0.033,0.295,NA,2,0,5.4,7,5.1,6.2,4.1,8.4,4.3,5.9,46.4,91.33,"83XAA04",44,55,51,71,82,32,74,80,"83XAA04",8,6.71,1.1,7.26,9.53,1.14,7.01
