id,setid,longft,shortft,row,col,block,dbh,year,site,name,plot,ibap,iba,ibamai,batot,ht,stms,canker,nline,neline,eline,seline,sline,swline,wline,nwline,lineindex,areaindex,sname2,ndbh,nedbh,edbh,sedbh,sdbh,swdbh,wdbh,nwdbh,sname3,dbhc,dbha,dbhr,sdbhr1d,sdbhr2d,bar,sbar
1,9,9,9,1,1,1,5.6,2013,U07m,17XGA04,1,25%,0.035,0.019,0.171,NA,1,0,9,12.7,3.4,5.7,5.7,12.7,9,12.7,71.02,221.36,17XGA04,NA,NA,9.4,6.8,3.2,NA,NA,NA,17XGA04,3,2.42,2.31,3.46,3.17,1.73,4.62
2,9,9,9,2,1,1,3.2,2013,U07m,17XGA04,1,40%,0.016,0.006,0.056,NA,1,0,3.3,3.2,2.9,4.2,2.6,12.7,9,12.7,50.66,122.51,17XGA04,5.6,9.4,6.8,6.4,8,NA,NA,NA,17XGA04,5,4.53,0.71,11.31,2.28,0.3,26.46
3,9,9,9,3,1,1,8,2013,U07m,17XGA04,1,25%,0.069,0.039,0.348,NA,2,0,6.4,6.9,5,9.3,6,12.7,9,12.7,68.02,200.73,17XGA04,3.2,6.8,6.4,3,4,NA,NA,NA,17XGA04,5,2.92,2.74,2.92,9.59,4.18,1.91
4,9,9,9,4,1,1,4,2013,U07m,17XGA04,1,39%,0.024,0.009,0.085,NA,2,0,3,4.9,5.1,4.2,3.7,12.7,9,12.7,55.41,138.35,17XGA04,8,6.4,3,8,5.8,NA,NA,NA,17XGA04,5,3.9,1.03,7.8,3.65,0.6,13.23
5,9,9,9,5,1,1,5.8,2013,U07m,82XAA04,2,15%,0.024,0.02,0.183,NA,1,0,5.3,8.4,3.8,6.3,4.8,12.7,9,12.7,63.04,172.79,82XAA04,4,3,8,6,5,NA,NA,NA,82XAA04,5,3.25,1.78,4.48,6.24,1.79,4.46
6,9,9,9,6,1,1,5,2013,U07m,82XAA04,2,42%,0.04,0.015,0.136,NA,1,0,4.2,4.9,4.1,5,3.3,12.7,9,12.7,55.9,141.89,82XAA04,5.8,8,6,7.7,8.7,NA,NA,NA,82XAA04,5,4.53,1.1,7.24,3.54,0.74,10.74
7,9,9,9,7,1,1,8.7,2013,U07m,82XAA04,2,34%,0.105,0.046,0.41,NA,3,0,5.7,7.5,4.8,8.3,9,12.7,9,12.7,69.74,215.4,82XAA04,5,6,7.7,4.7,NA,NA,NA,NA,82XAA04,4,2.92,2.97,2.69,6.17,4.25,1.88
8,9,9,9,8,1,1,NA,2013,U07m,82XAA04,2,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,82XAA04,8.7,7.7,4.7,4.4,NA,NA,NA,NA,82XAA04,4,3.19,0,0,0,0,0
9,9,9,9,9,1,4,NA,2013,U07m,2XT4E04,3,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,2XT4E04,NA,4.7,4.4,6,NA,NA,NA,NA,2XT4E04,3,1.89,0,0,0,0,0
10,9,9,9,10,1,4,NA,2013,U07m,2XT4E04,3,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,2XT4E04,NA,4.4,6,8.2,NA,NA,NA,NA,2XT4E04,3,2.33,0,0,0,0,0
