clone,basm
62,0.0001
62,0.0011
62,0.0016
62,0.0016
62,0.0029
62,0.0032
62,0.0034
63,0.0002
63,0.0011
63,0.0015
63,0.0022
63,0.0023
63,0.0027
63,0.0037
63,0.0061
64,0.0007
64,0.002
64,0.0032
64,0.0034
64,0.004
64,0.004
64,0.0046
65,0.0015
65,0.0016
65,0.0018
65,0.0022
65,0.0025
65,0.0034
65,0.0049
65,0.0073
66,0.001
66,0.0013
66,0.0062
66,0.0066
66,0.0069
66,0.0086
66,0.0094
67,0.0015
67,0.0025
67,0.004
67,0.0049
67,0.0063
68,0.0022
68,0.0037
68,0.0052
68,0.0052
69,0.0027
69,0.0037
69,0.004
69,0.0043
69,0.0052
69,0.0052
70,0.0006
70,0.0032
70,0.0037
70,0.0037
70,0.005
70,0.0052
70,0.0059
70,0.0066
71,0.0001
71,0.0016
71,0.0025
71,0.0049
71,0.0052
71,0.0057
72,0.0018
72,0.0022
72,0.0027
72,0.0032
72,0.004
72,0.0045
72,0.0045
73,0.0006
73,0.0016
73,0.0022
73,0.0025
73,0.0027
73,0.0029
73,0.0043
73,0.0046
73,0.0076
74,0.0007
74,0.0033
74,0.0037
74,0.0039
74,0.004
74,0.0047
74,0.0055
74,0.0057
74,0.0059
74,0.0064
75,0.001
75,0.0025
75,0.0025
75,0.0029
75,0.0034
75,0.0039
75,0.0041
75,0.0059
75,0.0067
76,0.0004
76,0.0013
76,0.0018
76,0.0018
76,0.0022
76,0.0022
76,0.0035
76,0.0037
76,0.0045
76,0.0049
NM6,0.0013
NM6,0.0013
NM6,0.002
NM6,0.0025
NM6,0.0029
NM6,0.0032
NM6,0.0037
