rep,clone,ht,basm
2,62,8.00,0.0001
1,62,12.00,0.0011
2,62,16.00,0.0016
4,62,21.00,0.0016
3,62,21.00,0.0029
4,62,23.50,0.0032
3,62,23.00,0.0034
4,63,10.00,0.0002
4,63,17.00,0.0011
3,63,19.00,0.0015
1,63,19.00,0.0022
1,63,20.50,0.0023
2,63,22.50,0.0027
3,63,24.00,0.0037
2,63,22.00,0.0061
3,64,15.50,0.0007
4,64,18.00,0.002
4,64,22.50,0.0032
3,64,23.00,0.0034
1,64,21.50,0.004
2,64,23.00,0.004
1,64,24.50,0.0046
4,65,18.50,0.0015
4,65,17.00,0.0016
2,65,17.50,0.0018
1,65,18.00,0.0022
3,65,19.00,0.0025
2,65,20.00,0.0034
1,65,21.00,0.0049
3,65,22.00,0.0073
3,66,20.00,0.001
2,66,15.00,0.0013
4,66,24.50,0.0062
3,66,22.00,0.0066
1,66,22.00,0.0069
1,66,22.00,0.0086
4,66,24.50,0.0094
3,67,18.00,0.0015
3,67,20.50,0.0025
4,67,21.00,0.004
1,67,20.50,0.0049
2,67,22.50,0.0063
4,68,18.00,0.0022
2,68,20.00,0.0037
3,68,24.00,0.0052
3,68,21.50,0.0052
1,69,19.50,0.0027
4,69,21.50,0.0037
2,69,23.50,0.004
3,69,22.00,0.0043
1,69,22.00,0.0052
2,69,23.00,0.0052
4,70,14.00,0.0006
4,70,21.00,0.0032
1,70,20.00,0.0037
2,70,22.00,0.0037
2,70,24.00,0.005
1,70,23.00,0.0052
3,70,24.00,0.0059
3,70,21.50,0.0066
2,71,9.00,0.0001
1,71,17.00,0.0016
1,71,18.00,0.0025
3,71,21.00,0.0049
4,71,20.00,0.0052
3,71,21.00,0.0057
3,72,22.00,0.0018
4,72,21.00,0.0022
2,72,21.00,0.0027
2,72,23.50,0.0032
1,72,23.00,0.004
1,72,22.00,0.0045
3,72,23.00,0.0045
2,73,12.60,0.0006
1,73,15.00,0.0016
3,73,20.50,0.0022
1,73,18.00,0.0025
4,73,21.50,0.0027
2,73,20.60,0.0029
3,73,23.00,0.0046
4,73,23.00,0.0076
1,74,18.00,0.0033
2,74,22.50,0.0037
2,74,21.50,0.0039
1,74,18.00,0.004
4,74,20.00,0.0047
3,74,24.00,0.0055
3,74,23.50,0.0057
4,74,22.00,0.0059
1,75,14.00,0.001
3,75,20.50,0.0025
4,75,17.00,0.0025
1,75,18.50,0.0029
3,75,23.00,0.0034
2,75,21.00,0.0041
4,75,23.00,0.0059
2,75,22.00,0.0067
2,76,9.50,0.0004
4,76,14.50,0.0013
1,76,15.00,0.0018
2,76,16.00,0.0018
1,76,16.50,0.0022
4,76,16.00,0.0035
3,76,19.50,0.0045
3,76,20.50,0.0049
1,NM6,13.50,0.0013
4,NM6,14.00,0.0013
2,NM6,16.00,0.002
1,NM6,15.50,0.0025
3,NM6,20.00,0.0029
3,NM6,18.00,0.0032
4,NM6,19.00,0.0037
